skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Sundsvall,Nivrenaskolan 2,Kommunal,Sundsvall,64815453,51,"60,8","68,6","194,7",..,..,"71,4","81,0","217,0",2015
Sundsvall,Stöde skola,Kommunal,Sundsvall,11181258,21,"85,7",~100,"205,8",..,..,"90,0",~100,"215,0",2015
Sundsvall,Sundsvalls Montessoriskola,Kommunal,Sundsvall,78495763,24,"83,3",~100,"233,6",24,"100,0","83,3",~100,"233,6",2015
Sundsvall,Vibackeskolan 2,Kommunal,Sundsvall,64221308,80,"78,8","85,0","212,9",..,..,"79,7","84,8","212,4",2015
Sundsvall,"Prolympia, Sundsvall",Enskild,Ulno AB,18952472,43,"72,1","81,4","202,1",43,"100,0","72,1","81,4","202,1",2015
Sundsvall,Kunskapsakademin,Enskild,Utbildningsföretaget Scandiacus AB,57722644,43,"81,4",~100,"214,4",43,"100,0","81,4",~100,"214,4",2015
Sunne,Fryxellska skolan,Kommunal,Sunne,25636648,139,"66,2","81,3","210,6",..,..,"68,7","84,3","211,9",2015
Surahammar,Hammarskolan,Kommunal,Surahammar,74582871,72,"75,0","87,5","222,0",..,..,"76,5","86,8","222,2",2015
Svalöv,"Blichers friskola, Norrvidinge",Enskild,Blichergruppen AB,81535814,14,..,~100,"168,9",14,"100,0",..,~100,"168,9",2015
Svalöv,Linåkerskolan,Kommunal,Svalöv,44263951,128,"72,7","82,8","215,8",..,..,"79,5","90,6","227,0",2015
Svalöv,Svalövs Montessoriskola,Enskild,Svalövs Montessori Ekonomisk förening,58981647,10,..,"100,0","247,8",10,"100,0",..,"100,0","247,8",2015
Svedala,Klågerupsskolan,Kommunal,Svedala,99748375,44,"84,1",~100,"240,6",..,..,"86,0",~100,"245,8",2015
Svedala,Naverlönnskolan,Kommunal,Svedala,65569784,146,"75,3","84,2","208,6",..,..,"75,2","84,1","208,5",2015
Svedala,Nils Fredriksson- utb grund,Kommunal,Svedala,58811019,..,.,.,..,..,..,.,.,..,2015
Svedala,Spångholmsskolan,Kommunal,Svedala,83516023,41,"90,2",~100,"235,6",41,"100,0","90,2",~100,"235,6",2015
Svenljunga,"Mogaskolan, 7-9",Kommunal,Svenljunga,35242545,118,"61,0","75,4","204,0",..,..,"69,2","85,6","211,2",2015
Säffle,Höglundaskolan 7-9,Kommunal,Säffle,17254626,55,"74,5","85,5","222,5",..,..,"74,5","86,3","224,4",2015
Säffle,Tegnérskolan,Kommunal,Säffle,40517936,118,"62,7","72,0","188,6",103,"87,3","69,9","80,6","206,6",2015
Säter,Klockarskolan,Kommunal,Säter,60111640,90,"77,8","84,4","216,2",..,..,"81,4","88,4","223,2",2015
Sävsjö,Sävsjö kristna skola,Enskild,Stiftelsen Guds Kraft,28504550,11,..,~100,"219,1",11,"100,0",..,~100,"219,1",2015
Sävsjö,Hofgårdsskolan,Kommunal,Sävsjö,59983229,91,"64,8","80,2","203,4",75,"82,4","77,3","93,3","227,7",2015
Sävsjö,Rörviks skola,Kommunal,Sävsjö,74170440,27,"74,1",~100,"231,3",27,"100,0","74,1",~100,"231,3",2015
Söderhamn,HamnaSkolan,Enskild,Ellithan AB,99882962,..,..,..,..,..,..,..,..,..,2015
Söderhamn,Bergvikskolan,Kommunal,Söderhamn,32721673,42,"71,4","81,0","200,7",42,"100,0","71,4","81,0","200,7",2015
Söderhamn,Norrtullskolan C,Kommunal,Söderhamn,35139330,115,"71,3","77,4","208,2",96,"83,5","84,4","90,6","222,1",2015
Söderhamn,Stenbergaskolan,Kommunal,Söderhamn,26147333,23,"73,9","78,3","221,2",23,"100,0","73,9","78,3","221,2",2015
Söderhamn,Vågbroskolan,Kommunal,Söderhamn,95878068,34,"88,2",~100,"219,5",..,..,"90,9",~100,"222,0",2015
Söderköping,Söderköpings Waldorfskola,Enskild,Stiftelsen Söderköpings Waldorfskola,70789823,14,..,~100,"213,8",14,"100,0",..,~100,"213,8",2015
Söderköping,Ramunderskolan,Kommunal,Söderköping,99361107,147,"81,6","87,1","232,4",..,..,"82,1","87,6","233,3",2015
Södertälje,Mariaskolan,Enskild,Föreningen Maria Magdalena,31528772,..,..,..,..,..,..,..,..,..,2015
Södertälje,Mikaelgården Läkeped. Institut,Enskild,Föreningen Mikaelgårdens Läkepedagogiska Inst,73075913,..,..,..,..,..,..,..,..,..,2015
Södertälje,Örjanskolan grund,Enskild,Föreningen Örjanskolan,10661388,21,"81,0",~100,"249,3",21,"100,0","81,0",~100,"249,3",2015
Södertälje,Järna friskola,Enskild,Järna Friskola Aktiebolag,41584790,24,"91,7","100,0","246,0",24,"100,0","91,7","100,0","246,0",2015
Södertälje,Kringlaskolan,Enskild,Kringlaskolan AB,74489639,47,"76,6","89,4","227,4",47,"100,0","76,6","89,4","227,4",2015
Södertälje,Magelungens grundskola Södertälje,Enskild,Magelungen Utveckling AB,14872951,..,..,..,..,..,..,..,..,..,2015
Södertälje,Nyckelskolan,Enskild,Nyckelknippan Förskole Aktiebolag,16068461,28,"96,4",~100,"266,2",28,"100,0","96,4",~100,"266,2",2015
Södertälje,Blombackaskolan,Kommunal,Södertälje,34148887,96,"61,5","70,8","214,7",80,"83,3","71,3","80,0","224,0",2015
Södertälje,Brunnsängskolan,Kommunal,Södertälje,60570294,85,"78,8","83,5","214,9",..,..,"83,5","87,3","218,9",2015
Södertälje,Fornbackaskolan,Kommunal,Södertälje,71992738,..,.,.,..,..,..,.,.,..,2015
Södertälje,Hovsjöskolan,Kommunal,Södertälje,82137009,65,"50,8","67,7","187,1",49,"75,4","63,3","77,6","202,8",2015
Södertälje,Hölöskolan,Kommunal,Södertälje,79466321,41,"92,7",~100,"236,2",..,..,"97,4",~100,"243,3",2015
Södertälje,Järna grundskolor,Kommunal,Södertälje,97655739,105,"79,0","84,8","228,0",..,..,"80,4","86,3","228,7",2015
Södertälje,Lina grundskola,Kommunal,Södertälje,62288230,47,"80,9",~100,"222,8",..,..,"85,4",~100,"226,9",2015
Södertälje,Oxbacksskolan,Kommunal,Södertälje,99842607,49,"79,6",~100,"232,0",..,..,"82,6",~100,"235,4",2015
Södertälje,Pershagenskolan,Kommunal,Södertälje,38653015,46,"97,8",~100,"251,8",46,"100,0","97,8",~100,"251,8",2015
Södertälje,Ronnaskolan,Kommunal,Södertälje,51210001,59,"35,6","42,4","170,9",..,..,"40,8","49,0","180,4",2015
Södertälje,Rosenborgskolan,Kommunal,Södertälje,11914814,126,"64,3","78,6","217,6",97,"77,0","77,3","93,8","238,7",2015
Södertälje,Soldalaskolan,Kommunal,Södertälje,40175889,39,"66,7","87,2","217,5",39,"100,0","66,7","87,2","217,5",2015
Södertälje,Wasaskolan,Kommunal,Södertälje,56568612,71,"59,2","73,2","204,0",55,"77,5","70,9","83,6","222,0",2015
Södertälje,Södertälje friskola,Enskild,Södertälje Friskola Aktiebolag,38394561,22,"77,3",~100,"222,3",22,"100,0","77,3",~100,"222,3",2015
Södertälje,Vittra Östertälje,Enskild,Vittraskolorna AB,12757193,56,"92,9",~100,"246,2",56,"100,0","92,9",~100,"246,2",2015
Sölvesborg,Bokelundsskolan H,Kommunal,Sölvesborg,94309839,87,"73,6","93,1","216,1",..,..,"75,3",~100,"217,5",2015
Sölvesborg,Mjällby skola H,Kommunal,Sölvesborg,24822447,68,"79,4","83,8","210,8",..,..,"85,7","90,5","219,8",2015
Tanum,Hamburgsundskolan,Kommunal,Tanum,81072495,49,"83,7",~100,"217,0",..,..,"85,4",~100,"220,3",2015
Tanum,Tanumskolan,Kommunal,Tanum,74079446,78,"75,6","85,9","208,1",..,..,"79,7","90,5","215,7",2015
Tibro,Nyboskolan arbetslag A,Kommunal,Tibro,97306690,46,"56,5","65,2","182,5",..,..,"60,5","69,8","189,0",2015
Tibro,Nyboskolan arbetslag B,Kommunal,Tibro,24564454,70,"70,0","81,4","212,1",..,..,"72,7","84,8","218,5",2015
Tidaholm,Forsenskolan 5-9,Kommunal,Tidaholm,40717964,72,"84,7","87,5","218,3",..,..,"89,6","92,5","229,3",2015
Tidaholm,Hökensåsskolan 7-9,Kommunal,Tidaholm,42899954,82,"73,2","81,7","202,8",..,..,"75,9","84,8","208,3",2015
Tierp,Aspenskolan,Kommunal,Tierp,15416514,65,"35,4","55,4","178,6",..,..,"41,8","65,5","195,6",2015
Tierp,Centralskolan,Kommunal,Tierp,17240817,57,"63,2","89,5","223,3",57,"100,0","63,2","89,5","223,3",2015
Tierp,Ol Andersskolan,Kommunal,Tierp,65153737,41,"73,2","82,9","210,9",41,"100,0","73,2","82,9","210,9",2015
Tierp,Örbyhus skola,Kommunal,Tierp,69241995,39,"69,2","82,1","206,5",39,"100,0","69,2","82,1","206,5",2015
Timrå,Ala skola,Kommunal,Timrå,59092675,45,"73,3","80,0","201,1",..,..,"75,0","81,8","202,0",2015
Timrå,Arenaskolan,Kommunal,Timrå,81784662,136,"66,2","80,1","197,8",..,..,"69,8","84,5","201,9",2015
Tingsryd,Idekulla skola,Enskild,Idekulla Skola Handelsbolag,66342347,22,"100,0","100,0","255,9",22,"100,0","100,0","100,0","255,9",2015
Tingsryd,Dackeskolan 4-9,Kommunal,Tingsryd,56361478,109,"65,1","74,3","207,9",90,"82,6","77,8","87,8","231,2",2015
Tjörn,Bleketskolan,Kommunal,Tjörn,16656370,73,"89,0","91,8","234,4",..,..,"93,8",~100,"242,0",2015
Tjörn,Häggvallskolan,Kommunal,Tjörn,23228302,81,"82,7","92,6","220,3",81,"100,0","82,7","92,6","220,3",2015
Tomelilla,Kastanjeskolan,Kommunal,Tomelilla,90360196,104,"63,5","76,0","188,2",..,..,"64,7","77,5","189,7",2015
Torsby,Frykenskolan,Kommunal,Torsby,21568934,105,"61,0","75,2","193,4",..,..,"68,1","83,5","210,4",2015
Torsby,Kvistbergsskolan,Kommunal,Torsby,83025413,23,"78,3",~100,"225,2",22,"95,7","81,8",~100,"232,0",2015
Torsås,Torskolan H,Kommunal,Torsås,99636909,61,"73,8","80,3","208,8",..,..,"74,6","81,4","210,2",2015
Tranemo,Tranängskolan 7-9,Kommunal,Tranemo,33759766,153,"68,0","83,0","208,5",..,..,"72,2","88,2","219,0",2015
Tranås,Junkaremålsskolan 7-9,Kommunal,Tranås,18476537,95,"86,3","91,6","237,0",..,..,"88,0","93,5","240,9",2015
Tranås,Ängarydsskolan,Kommunal,Tranås,10155751,84,"73,8","83,3","203,2",..,..,"78,2","87,2","211,6",2015
Trelleborg,Kunskapsskolan Trelleborg,Enskild,Kunskapsskolan i Sverige Aktiebolag,65892623,59,"89,8",~100,"258,2",..,..,"89,7",~100,"258,0",2015
Trelleborg,Fågelbäcksskolan 6-9,Kommunal,Trelleborg,94965726,47,"83,0",~100,"228,6",..,..,"84,4",~100,"230,2",2015
Trelleborg,Liljeborgsskolan 7-9,Kommunal,Trelleborg,42096980,139,"78,4","91,4","233,4",..,..,"79,6","92,7","235,8",2015
Trelleborg,Pilevallskolan F-9,Kommunal,Trelleborg,24947938,24,"79,2","79,2","216,7",..,..,"85,7",~100,"226,1",2015
Trelleborg,Vannhögskolan 6-9,Kommunal,Trelleborg,92281801,69,"82,6","92,8","228,6",69,"100,0","82,6","92,8","228,6",2015
Trelleborg,Väståkraskolan F-9,Kommunal,Trelleborg,16081769,58,"93,1",~100,"237,7",..,..,"94,7",~100,"240,7",2015
Trollhättan,"Fridaskolan, Trollhättan",Enskild,Fridaskolorna AB,56884611,76,"90,8",~100,"239,0",76,"100,0","90,8",~100,"239,0",2015
Trollhättan,"Nya Skolan, Trollhättan",Enskild,Nya Skolan Trollhättan Aktiebolag,11588924,32,"87,5",~100,"238,2",32,"100,0","87,5",~100,"238,2",2015
Trollhättan,Hjortmosseskolan 7-9,Kommunal,Trollhättan,66644468,75,"54,7","69,3","202,9",60,"80,0","63,3","76,7","226,0",2015
Trollhättan,Kronan 7-9,Kommunal,Trollhättan,63750711,54,"31,5","51,9","195,1",41,"75,9","36,6","61,0","205,1",2015
Trollhättan,Lyrfågelskolan 7-9,Kommunal,Trollhättan,81052393,100,"86,0","94,0","231,7",..,..,"86,9","94,9","233,0",2015
Trollhättan,Paradisskolan 7-9,Kommunal,Trollhättan,38786603,67,"65,7","76,1","218,7",..,..,"71,0","82,3","229,0",2015
Trollhättan,Sjuntorpskolan 4-9,Kommunal,Trollhättan,39396701,41,"78,0","78,0","218,3",41,"100,0","78,0","78,0","218,3",2015
Trollhättan,Stavreskolan 4-9,Kommunal,Trollhättan,49525819,71,"80,3","90,1","227,9",..,..,"83,8",~100,"233,7",2015
Trollhättan,Strömslundsskolan 7-9,Kommunal,Trollhättan,96091081,67,"82,1","89,6","210,7",..,..,"90,0",~100,"226,4",2015
Trollhättan,Sylteskolan 7-9,Kommunal,Trollhättan,66414430,79,"32,9","55,7","183,3",59,"74,7","40,7","66,1","195,3",2015
Trosa,Hedebyskolan,Kommunal,Trosa,45500152,51,"88,2",~100,"228,9",..,..,"89,6",~100,"230,8",2015
Trosa,Tomtaklintskolan,Kommunal,Trosa,51044218,95,"84,2","88,4","241,7",..,..,"87,9","92,3","245,4",2015
Tyresö,Dalskolan,Kommunal,Tyresö,56130729,87,"88,5","94,3","238,2",..,..,"89,5",~100,"239,1",2015
Tyresö,Kumla skola,Kommunal,Tyresö,37147254,129,"86,8","94,6","232,6",..,..,"90,3",~100,"238,6",2015
Tyresö,Nyboda skola,Kommunal,Tyresö,31281674,112,"71,4","84,8","216,4",..,..,"74,1","88,0","219,6",2015
Tyresö,Strandskolan,Kommunal,Tyresö,87665835,64,"84,4",~100,"233,5",64,"100,0","84,4",~100,"233,5",2015
Tyresö,Tyresö skola,Kommunal,Tyresö,83020784,74,"97,3",~100,"246,8",74,"100,0","97,3",~100,"246,8",2015
Täby,Byängsskolan,Enskild,Byängsskolan AB,65839656,74,"98,6",~100,"259,9",74,"100,0","98,6",~100,"259,9",2015
Täby,Mellansjö skola,Enskild,Enigma Omsorg Aktiebolag,54332921,..,.,.,..,..,..,.,.,..,2015
Täby,Futuraskolan Bergtorp,Enskild,Futuraskolan AB,24142153,153,"98,0",~100,"265,9",152,"99,3","98,0",~100,"265,9",2015
Täby,Engelska Skolan i Täby,Enskild,Internationella Engelska Skolan i Sverige AB,12332278,184,"99,5",~100,"276,5",..,..,"99,4",~100,"276,5",2015
Täby,Solhagaskolan Jag Kan,Enskild,Jag Kan skolan AB,34125463,..,.,.,..,..,..,.,.,..,2015
Täby,Kunskapsskolan Täby,Enskild,Kunskapsskolan i Sverige Aktiebolag,25309669,55,"90,9",~100,"255,3",55,"100,0","90,9",~100,"255,3",2015
Täby,Nya Tidens Montessorisk. Täby,Enskild,Nya Tidens Montessoriskola i Täby Aktiebolag,89424201,24,"95,8",~100,"277,2",24,"100,0","95,8",~100,"277,2",2015
Täby,Milstensskolan,Enskild,Pysslingen Förskolor och Skolor AB,23312767,25,"96,0","100,0","275,8",25,"100,0","96,0","100,0","275,8",2015
Täby,Kristinaskolan,Enskild,Specialpedagogiskt Forum Trt Aktiebolag,16244673,..,..,..,..,..,..,..,..,..,2015
Täby,Svalnäs skola,Enskild,"Svalnäs, ekonomisk förening",84230778,..,.,..,..,..,..,.,..,..,2015
Täby,Attundaskolan,Kommunal,Täby,85045274,..,.,..,..,..,..,.,..,..,2015
Täby,Gribby Gård,Kommunal,Täby,20587249,..,..,..,..,..,..,..,..,..,2015
Täby,Näsbydalskolan,Kommunal,Täby,22807677,110,"94,5",~100,"253,9",..,..,"96,3","100,0","255,7",2015
Täby,Näsbyparksskolan,Kommunal,Täby,96330648,42,"83,3","83,3","235,1",..,..,"92,1",~100,"247,8",2015
Täby,Skarpängsskolan,Kommunal,Täby,83454509,87,"96,6",~100,"236,5",87,"100,0","96,6",~100,"236,5",2015
Täby,Skolhagenskolan,Kommunal,Täby,69088221,71,"97,2",~100,"243,9",71,"100,0","97,2",~100,"243,9",2015
Täby,Vallatorpsskolan,Kommunal,Täby,57206066,45,"86,7",~100,"226,7",..,..,"88,4",~100,"231,1",2015
Täby,Täby Friskola-Enhagen,Enskild,Täby Friskola Aktiebolag,32231541,86,"100,0","100,0","278,7",86,"100,0","100,0","100,0","278,7",2015
Täby,Helleborusskolan,Enskild,ZACU AB,45984740,26,"65,4",~100,"184,0",26,"100,0","65,4",~100,"184,0",2015
Töreboda,Töreboda Centralskola,Kommunal,Töreboda,94707451,96,"74,0","86,5","218,0",..,..,"78,4","90,9","227,6",2015
Uddevalla,"Fridaskolan, Uddevalla",Enskild,Fridaskolorna AB,27489448,71,"78,9","93,0","230,9",71,"100,0","78,9","93,0","230,9",2015
Uddevalla,Hällebergsskolan,Enskild,Hällebergsförsamlingen,52464734,10,..,..,"270,0",10,"100,0",..,..,"270,0",2015
Uddevalla,Linnéaskolan,Enskild,Linnéaskolan AB,92086024,61,"86,9","91,8","234,4",61,"100,0","86,9","91,8","234,4",2015
Uddevalla,Stenbackeskolan,Enskild,Stiftelsen Uddevalla Kristna Skola,77005811,..,..,..,..,..,..,..,..,..,2015
Uddevalla,Norgårdenskolan 7-9,Kommunal,Uddevalla,10405686,86,"77,9","93,0","218,4",86,"100,0","77,9","93,0","218,4",2015
Uddevalla,Ramnerödsskolan,Kommunal,Uddevalla,83416307,78,"48,7","70,5","179,4",65,"83,3","53,8","75,4","191,4",2015
Uddevalla,Sommarhemsskolan 7-9,Kommunal,Uddevalla,45535775,81,"66,7","76,5","199,2",..,..,"67,5","77,5","198,6",2015
Uddevalla,Västerskolan,Kommunal,Uddevalla,62222568,149,"84,6","96,0","232,8",149,"100,0","84,6","96,0","232,8",2015
Ulricehamn,Stenbocksskolan,Kommunal,Ulricehamn,39517088,176,"70,5","81,3","218,9",..,..,"71,5","82,0","220,4",2015
Ulricehamn,Ätradalsskolan,Kommunal,Ulricehamn,28080863,79,"67,1","77,2","213,8",..,..,"67,1","77,6","214,9",2015
Umeå,Minervaskolan,Enskild,Minervaskolan i Umeå AB,75713343,81,"95,1",~100,"261,9",81,"100,0","95,1",~100,"261,9",2015
Umeå,Språkskolan,Enskild,Språkskolan i Umeå Ek. För.,55815397,..,..,..,..,..,..,..,..,..,2015
Umeå,"Umeå Waldorfskola, gr",Enskild,Stiftelsen Umeå Waldorfskola R Karlsson Mfl,16183719,24,"83,3",~100,"216,9",24,"100,0","83,3",~100,"216,9",2015
Umeå,"Prolympia, Umeå",Enskild,Ulno AB,28958120,76,"93,4",~100,"238,7",76,"100,0","93,4",~100,"238,7",2015
Umeå,Bräntbergsskolan 1,Kommunal,Umeå,44391304,21,"71,4",~100,"228,3",21,"100,0","71,4",~100,"228,3",2015
Umeå,Bräntbergsskolan 2,Kommunal,Umeå,51963791,60,"81,7","86,7","231,3",..,..,"85,7","91,1","236,4",2015
Umeå,Carlshöjdsskolan 2,Kommunal,Umeå,42259280,50,"86,0","88,0","237,3",..,..,"91,5",~100,"243,9",2015
Umeå,Ersängsskolan 7-9,Kommunal,Umeå,96783420,64,"68,8","76,6","224,0",..,..,"72,1","80,3","225,0",2015
Umeå,Grubbeskolan 1,Kommunal,Umeå,21768043,51,"90,2",~100,"252,8",..,..,"90,0",~100,"253,2",2015
Umeå,Grubbeskolan 2,Kommunal,Umeå,89248713,77,"80,5","90,9","229,4",..,..,"81,6","92,1","230,6",2015
Umeå,Hagaskolan 7-9,Kommunal,Umeå,53016523,88,"80,7","92,0","227,7",..,..,"81,2","92,9","226,6",2015
Umeå,Hörnefors Centralskola 7-9,Kommunal,Umeå,85438284,35,"80,0",~100,"224,6",35,"100,0","80,0",~100,"224,6",2015
Umeå,Linneaskolan,Kommunal,Umeå,39117429,47,"87,2",~100,"228,8",47,"100,0","87,2",~100,"228,8",2015
Umeå,Obbola skola 6-9,Kommunal,Umeå,31716818,31,"83,9","83,9","245,5",31,"100,0","83,9","83,9","245,5",2015
Umeå,Sjöfruskolan Supra,Kommunal,Umeå,77062355,52,"84,6","88,5","251,5",..,..,"86,3","90,2","253,3",2015
Umeå,Storsjöskolan 2,Kommunal,Umeå,10954341,52,"86,5",~100,"229,2",52,"100,0","86,5",~100,"229,2",2015
Umeå,Sävar skola 1,Kommunal,Umeå,90639590,70,"77,1","92,9","216,0",70,"100,0","77,1","92,9","216,0",2015
Umeå,Tegs centralskola 1,Kommunal,Umeå,96517991,70,"68,6","75,7","196,2",53,"75,7","88,7",~100,"232,9",2015
Umeå,Tegs centralskola 2,Kommunal,Umeå,74820849,78,"87,2","92,3","235,4",78,"100,0","87,2","92,3","235,4",2015
Umeå,Västangårds skola 1-9,Kommunal,Umeå,36171517,17,"88,2","100,0","218,1",..,..,"87,5","100,0","215,6",2015
Umeå,Ålidhemsskolan 6-9,Kommunal,Umeå,42752416,38,"73,7","81,6","230,1",..,..,"79,4","85,3","235,8",2015
Umeå,Mariaskolan,Enskild,Umeå Kristna Friskoleförening,23470743,..,..,..,..,..,..,..,..,..,2015
Umeå,Hannaskolan,Enskild,Umeå Kristna Skolförening,68950088,12,"100,0","100,0","267,7",12,"100,0","100,0","100,0","267,7",2015
Upplands Väsby,Sandbergska Competens,Enskild,Sandbergska Competens AB,97762139,24,"79,2",~100,"209,5",24,"100,0","79,2",~100,"209,5",2015
Upplands Väsby,"Sverigefinska sk, Uppl Väsby",Enskild,Stift Sverigefinska Skolan i Uppl-Väsby,68403656,..,..,..,..,..,..,..,..,..,2015
Upplands Väsby,Södervikskolan,Enskild,Södervikskolan AB,49021135,107,"89,7",~100,"239,2",107,"100,0","89,7",~100,"239,2",2015
Upplands Väsby,Grimsta skola,Kommunal,Upplands Väsby,44227469,82,"74,4","79,3","228,2",..,..,"75,3","80,2","230,8",2015
Upplands Väsby,Runby skola,Kommunal,Upplands Väsby,77624936,54,"63,0","77,8","208,3",..,..,"64,2","79,2","208,3",2015
Upplands Väsby,Smedby skola,Kommunal,Upplands Väsby,36789655,26,"53,8","65,4","188,2",..,..,"65,0",~100,"219,6",2015
Upplands Väsby,Väsby skola,Kommunal,Upplands Väsby,31018677,76,"38,2","51,3","193,8",53,"69,7","54,7","73,6","229,7",2015
Upplands Väsby,Vittra Väsby,Enskild,Vittraskolorna AB,24374886,34,"79,4",~100,"220,8",34,"100,0","79,4",~100,"220,8",2015
Upplands-Bro,Källskolan,Enskild,Föreningen För Kristen Skola i Upplands-Bro,69098787,14,"92,9",~100,"237,1",..,..,"92,3",~100,"236,0",2015
Upplands-Bro,Broskolan,Kommunal,Upplands-Bro,16983719,93,"67,7","79,6","216,0",76,"81,7","81,6","92,1","235,1",2015
Upplands-Bro,Ekhammarskolan,Kommunal,Upplands-Bro,92284588,81,"85,2","93,8","239,2",..,..,"87,2","93,6","239,8",2015
Upplands-Bro,Hagnässkolan,Kommunal,Upplands-Bro,16969143,41,"92,7","100,0","252,4",41,"100,0","92,7","100,0","252,4",2015
Uppsala,Gluntens Montessoriskola,Enskild,Gluntens Montessoriskola Ek För,57484572,33,"84,8","100,0","260,0",33,"100,0","84,8","100,0","260,0",2015
Uppsala,Katarinaskolan,Enskild,Heliga Katarinas Skolstiftelse,71951060,97,"91,8",~100,"264,4",..,..,"92,6",~100,"266,8",2015
Uppsala,Raoul Wallenbergskolan Uppsala,Enskild,International Swedish School AB,56867001,45,"77,8","82,2","211,7",45,"100,0","77,8","82,2","211,7",2015
Uppsala,Engelska skolan i Uppsala,Enskild,Internationella Engelska Skolan i Sverige AB,83401016,88,"84,1","92,0","253,5",..,..,"85,1","93,1","254,4",2015
Uppsala,JENSEN grundskola Uppsala,Enskild,Jensen Education College AB,25730446,36,"75,0","75,0","235,9",36,"100,0","75,0","75,0","235,9",2015
Uppsala,Kajan Friskola AB,Enskild,Kajan Friskola AB,82442662,..,.,..,..,..,..,.,..,..,2015
Uppsala,Kunskapsskolan Uppsala,Enskild,Kunskapsskolan i Sverige Aktiebolag,73947432,98,"89,8","93,9","259,0",98,"100,0","89,8","93,9","259,0",2015
Uppsala,Kunskapsskolan Uppsala Norra,Enskild,Kunskapsskolan i Sverige Aktiebolag,73806643,48,"97,9","100,0","267,6",..,..,"97,8","100,0","268,6",2015
Uppsala,LOKS                   Kyrkskolan 7-9,Enskild,LOKS AB,35561766,58,"81,0",~100,"226,8",..,..,"83,9",~100,"228,9",2015
Uppsala,Samsaskolan grundskola,Enskild,Samsa AB,49262000,14,.,..,"78,6",13,"92,9",.,..,"78,6",2015
Uppsala,Uppsala Musikklasser,Enskild,Stiftelsen Uppsala Musikklasser,89387408,75,"96,0",~100,"271,6",75,"100,0","96,0",~100,"271,6",2015
Uppsala,Uppsala waldorfskola,Enskild,Stiftelsen Uppsala Waldorfskola,69405762,12,..,..,"219,8",11,"91,7",..,..,"232,0",2015
Uppsala,Almunge skola,Kommunal,Uppsala,99056007,49,"87,8",~100,"240,8",49,"100,0","87,8",~100,"240,8",2015
Uppsala,Björkvallsskolan,Kommunal,Uppsala,89112467,80,"82,5","88,8","216,5",80,"100,0","82,5","88,8","216,5",2015
Uppsala,Eriksbergsskolan,Kommunal,Uppsala,18733789,98,"82,7","88,8","231,8",..,..,"87,8","94,4","244,9",2015
Uppsala,Förberedelseskolan,Kommunal,Uppsala,45618443,..,.,.,..,..,..,.,.,.,2015
Uppsala,Gottsundaskolan,Kommunal,Uppsala,93042073,107,"74,8","84,1","236,3",..,..,"80,4","90,7","249,1",2015
Uppsala,Gränbyskolan,Kommunal,Uppsala,60782519,122,"74,6","80,3","216,3",111,"91,0","82,0","86,5","223,7",2015
Uppsala,Gåvsta skola,Kommunal,Uppsala,12275851,27,"92,6",~100,"245,8",27,"100,0","92,6",~100,"245,8",2015
Uppsala,Kvarngärdesskolan,Kommunal,Uppsala,61003071,40,"77,5","82,5","258,4",..,..,"77,8","83,3","261,8",2015
Uppsala,Nannaskolan,Kommunal,Uppsala,29677535,84,"84,5","89,3","221,6",..,..,"88,8","93,8","229,1",2015
Uppsala,Stavby skola,Kommunal,Uppsala,72802066,..,..,..,..,..,..,..,..,..,2015
Uppsala,Stordammen,Kommunal,Uppsala,95132430,63,"77,8","90,5","225,0",..,..,"78,7","91,8","227,6",2015
Uppsala,Tiundaskolan Eriksspåret,Kommunal,Uppsala,92713811,58,"98,3",~100,"278,6",58,"100,0","98,3",~100,"278,6",2015
Uppsala,Tiundaskolan Sverkerspåret,Kommunal,Uppsala,12733075,62,"88,7",~100,"251,5",62,"100,0","88,7",~100,"251,5",2015
Uppsala,Tuna skola,Kommunal,Uppsala,26666728,..,..,..,..,..,..,..,..,..,2015
Uppsala,Tunabergsskolan,Kommunal,Uppsala,54742485,119,"82,4","90,8","233,9",..,..,"83,1","91,5","234,2",2015
Uppsala,Vaksalaskolan,Kommunal,Uppsala,28006480,111,"81,1","88,3","239,4",..,..,"81,8","89,1","241,4",2015
Uppsala,Valsätraskolan,Kommunal,Uppsala,56446888,49,"67,3","77,6","220,3",49,"100,0","67,3","77,6","220,3",2015
Uppsala,von Bahrs skola 6-9,Kommunal,Uppsala,67720051,50,"50,0","78,0","183,4",..,..,"56,1","80,5","189,6",2015
Uppsala,Västra Stenhagenskolan,Kommunal,Uppsala,48134074,66,"62,1","78,8","194,8",..,..,"72,7","90,9","216,0",2015
Uppsala,Ärentunaskolan,Kommunal,Uppsala,64800741,129,"74,4","84,5","231,6",129,"100,0","74,4","84,5","231,6",2015
